confederation,slot,team_name,notes
Abyala,1,Balisca,
Abyala,2,Asikyira,
Abyala,3,Tapuya,
Abyala,4,Sanrobonia,
Abyala,5,Balboa,
North and Central Kaftia,1,Sanyan,
North and Central Kaftia,2,Ayorin,
North and Central Kaftia,3,Laga,
North and Central Kaftia,4,Dakare,
Mesogean,1,Volisania,
Mesogean,2,Burawa,
Mesogean,3,Galwa,
Mesogean,4,Orma,
Mesogean,5,Jarin,
Mesogean,6,Varkana,
Mesogean,7,Bayara,
Mesogean,8,Aetolia,
Lurandia,1,United Midlands,
Lurandia,2,Sinchew,
Lurandia,3,Louyang,
Lurandia,4,Kaneda,
East Fosia,1,Zong,
East Fosia,2,Louyan,
East Fosia,3,Okaiken,
East Fosia,4,Nakamizu,
East Fosia,5,Shansi,
Central Fosia and Southern Illypnia,1,Breisland,
Central Fosia and Southern Illypnia,2,Merica,
Central Fosia and Southern Illypnia,3,Daras,
Central Fosia and Southern Illypnia,4,Chatar,
Central Fosia and Southern Illypnia,5,Bayan,
Central Fosia and Southern Illypnia,6,Kwangju,
North Fosia and Kendryian,1,Nusaraya,
North Fosia and Kendryian,2,Dagit,
North Fosia and Kendryian,3,Pangkajene,
North Fosia and Kendryian,4,Pasundan,


