Aircraft,Registration,Base,FlightNo,Day,From,To,DepTime,ArrTime,BlockHrs,Notes
A321-1,BL-ABA,SCI,AB301,Mon,SCI,SBT,06:00,06:35,0.58,J/W/Y — SCI-SBT trunk (BL-ABA)
A321-1,BL-ABA,SCI,AB302,Mon,SBT,SCI,07:00,07:35,0.58,J/W/Y — SCI-SBT trunk (BL-ABB)
A321-1,BL-ABA,SCI,AB301,Mon,SCI,SBT,08:00,08:35,0.58,J/W/Y — SCI-SBT trunk (BL-ABA)
A321-1,BL-ABA,SCI,AB302,Mon,SBT,SCI,09:00,09:35,0.58,J/W/Y — SCI-SBT trunk (BL-ABB)
A321-1,BL-ABA,SCI,AB301,Mon,SCI,SBT,10:00,10:35,0.58,J/W/Y — SCI-SBT trunk (BL-ABA)
A321-1,BL-ABA,SCI,AB302,Mon,SBT,SCI,11:00,11:35,0.58,J/W/Y — SCI-SBT trunk (BL-ABB)
A321-1,BL-ABA,SCI,AB301,Mon,SCI,SBT,12:00,12:35,0.58,J/W/Y — SCI-SBT trunk (BL-ABA)
A321-1,BL-ABA,SCI,AB302,Mon,SBT,SCI,13:00,13:35,0.58,J/W/Y — SCI-SBT trunk (BL-ABB)
A321-1,BL-ABA,SCI,AB301,Mon,SCI,SBT,14:00,14:35,0.58,J/W/Y — SCI-SBT trunk (BL-ABA)
A321-1,BL-ABA,SCI,AB302,Mon,SBT,SCI,15:00,15:35,0.58,J/W/Y — SCI-SBT trunk (BL-ABB)
A321-1,BL-ABA,SCI,AB301,Tue,SCI,SBT,06:00,06:35,0.58,J/W/Y — SCI-SBT trunk (BL-ABA)
A321-1,BL-ABA,SCI,AB302,Tue,SBT,SCI,07:00,07:35,0.58,J/W/Y — SCI-SBT trunk (BL-ABB)
A321-1,BL-ABA,SCI,AB301,Tue,SCI,SBT,08:00,08:35,0.58,J/W/Y — SCI-SBT trunk (BL-ABA)
A321-1,BL-ABA,SCI,AB302,Tue,SBT,SCI,09:00,09:35,0.58,J/W/Y — SCI-SBT trunk (BL-ABB)
A321-1,BL-ABA,SCI,AB301,Tue,SCI,SBT,10:00,10:35,0.58,J/W/Y — SCI-SBT trunk (BL-ABA)
A321-1,BL-ABA,SCI,AB302,Tue,SBT,SCI,11:00,11:35,0.58,J/W/Y — SCI-SBT trunk (BL-ABB)
A321-1,BL-ABA,SCI,AB301,Tue,SCI,SBT,12:00,12:35,0.58,J/W/Y — SCI-SBT trunk (BL-ABA)
A321-1,BL-ABA,SCI,AB302,Tue,SBT,SCI,13:00,13:35,0.58,J/W/Y — SCI-SBT trunk (BL-ABB)
A321-1,BL-ABA,SCI,AB301,Tue,SCI,SBT,14:00,14:35,0.58,J/W/Y — SCI-SBT trunk (BL-ABA)
A321-1,BL-ABA,SCI,AB302,Tue,SBT,SCI,15:00,15:35,0.58,J/W/Y — SCI-SBT trunk (BL-ABB)
A321-1,BL-ABA,SCI,AB301,Wed,SCI,SBT,06:00,06:35,0.58,J/W/Y — SCI-SBT trunk (BL-ABA)
A321-1,BL-ABA,SCI,AB302,Wed,SBT,SCI,07:00,07:35,0.58,J/W/Y — SCI-SBT trunk (BL-ABB)
A321-1,BL-ABA,SCI,AB301,Wed,SCI,SBT,08:00,08:35,0.58,J/W/Y — SCI-SBT trunk (BL-ABA)
A321-1,BL-ABA,SCI,AB302,Wed,SBT,SCI,09:00,09:35,0.58,J/W/Y — SCI-SBT trunk (BL-ABB)
A321-1,BL-ABA,SCI,AB301,Wed,SCI,SBT,10:00,10:35,0.58,J/W/Y — SCI-SBT trunk (BL-ABA)
A321-1,BL-ABA,SCI,AB302,Wed,SBT,SCI,11:00,11:35,0.58,J/W/Y — SCI-SBT trunk (BL-ABB)
A321-1,BL-ABA,SCI,AB301,Wed,SCI,SBT,12:00,12:35,0.58,J/W/Y — SCI-SBT trunk (BL-ABA)
A321-1,BL-ABA,SCI,AB302,Wed,SBT,SCI,13:00,13:35,0.58,J/W/Y — SCI-SBT trunk (BL-ABB)
A321-1,BL-ABA,SCI,AB301,Wed,SCI,SBT,14:00,14:35,0.58,J/W/Y — SCI-SBT trunk (BL-ABA)
A321-1,BL-ABA,SCI,AB302,Wed,SBT,SCI,15:00,15:35,0.58,J/W/Y — SCI-SBT trunk (BL-ABB)
A321-1,BL-ABA,SCI,AB301,Thu,SCI,SBT,06:00,06:35,0.58,J/W/Y — SCI-SBT trunk (BL-ABA)
A321-1,BL-ABA,SCI,AB302,Thu,SBT,SCI,07:00,07:35,0.58,J/W/Y — SCI-SBT trunk (BL-ABB)
A321-1,BL-ABA,SCI,AB301,Thu,SCI,SBT,08:00,08:35,0.58,J/W/Y — SCI-SBT trunk (BL-ABA)
A321-1,BL-ABA,SCI,AB302,Thu,SBT,SCI,09:00,09:35,0.58,J/W/Y — SCI-SBT trunk (BL-ABB)
A321-1,BL-ABA,SCI,AB301,Thu,SCI,SBT,10:00,10:35,0.58,J/W/Y — SCI-SBT trunk (BL-ABA)
A321-1,BL-ABA,SCI,AB302,Thu,SBT,SCI,11:00,11:35,0.58,J/W/Y — SCI-SBT trunk (BL-ABB)
A321-1,BL-ABA,SCI,AB301,Thu,SCI,SBT,12:00,12:35,0.58,J/W/Y — SCI-SBT trunk (BL-ABA)
A321-1,BL-ABA,SCI,AB302,Thu,SBT,SCI,13:00,13:35,0.58,J/W/Y — SCI-SBT trunk (BL-ABB)
A321-1,BL-ABA,SCI,AB301,Thu,SCI,SBT,14:00,14:35,0.58,J/W/Y — SCI-SBT trunk (BL-ABA)
A321-1,BL-ABA,SCI,AB302,Thu,SBT,SCI,15:00,15:35,0.58,J/W/Y — SCI-SBT trunk (BL-ABB)
A321-1,BL-ABA,SCI,AB301,Fri,SCI,SBT,06:00,06:35,0.58,J/W/Y — SCI-SBT trunk (BL-ABA)
A321-1,BL-ABA,SCI,AB302,Fri,SBT,SCI,07:00,07:35,0.58,J/W/Y — SCI-SBT trunk (BL-ABB)
A321-1,BL-ABA,SCI,AB301,Fri,SCI,SBT,08:00,08:35,0.58,J/W/Y — SCI-SBT trunk (BL-ABA)
A321-1,BL-ABA,SCI,AB302,Fri,SBT,SCI,09:00,09:35,0.58,J/W/Y — SCI-SBT trunk (BL-ABB)
