Aircraft,Registration,Base,FlightNo,Seq,From,To,DepTime,ArrTime,BlockMin,BlockHrs
ATR-1,BL-ATA,SCI,AB301,1,SCI,NOV,06:00,07:30,90,1.5
ATR-1,BL-ATA,SCI,AB302,2,NOV,SCI,08:00,09:30,90,1.5
ATR-1,BL-ATA,SCI,AB303,3,SCI,NOV,10:10,11:40,90,1.5
ATR-1,BL-ATA,SCI,AB304,4,NOV,SCI,12:10,13:40,90,1.5
ATR-1,BL-ATA,SCI,AB305,5,SCI,NOV,14:20,15:50,90,1.5
ATR-1,BL-ATA,SCI,AB306,6,NOV,SCI,16:20,17:50,90,1.5
ATR-2,BL-ATB,SCI,AB307,1,SCI,VEL,06:00,07:40,100,1.67
ATR-2,BL-ATB,SCI,AB308,2,VEL,SCI,08:10,09:50,100,1.67
ATR-2,BL-ATB,SCI,AB309,3,SCI,VEL,10:30,12:10,100,1.67
ATR-2,BL-ATB,SCI,AB310,4,VEL,SCI,12:40,14:20,100,1.67
ATR-2,BL-ATB,SCI,AB311,5,SCI,VEL,15:00,16:40,100,1.67
ATR-2,BL-ATB,SCI,AB312,6,VEL,SCI,17:10,18:50,100,1.67
ATR-3,BL-ATC,SCI,AB313,1,SCI,PBL,06:00,07:50,110,1.83
ATR-3,BL-ATC,SCI,AB314,2,PBL,SJD,08:20,09:10,50,0.83
ATR-3,BL-ATC,SCI,AB315,3,SJD,PBL,09:40,10:30,50,0.83
ATR-3,BL-ATC,SCI,AB316,4,PBL,SCI,11:00,12:50,110,1.83
ATR-3,BL-ATC,SCI,AB317,5,SCI,PBL,13:30,15:20,110,1.83
ATR-3,BL-ATC,SCI,AB318,6,PBL,SCI,15:50,17:40,110,1.83
ATR-4,BL-ATD,SCI,AB319,1,SCI,CBL,06:00,07:00,60,1.0
ATR-4,BL-ATD,SCI,AB320,2,CBL,SCI,07:30,08:30,60,1.0
ATR-4,BL-ATD,SCI,AB321,3,SCI,CDA,09:10,09:40,30,0.5
ATR-4,BL-ATD,SCI,AB322,4,CDA,MTR,10:10,11:05,55,0.92
ATR-4,BL-ATD,SCI,AB323,5,MTR,CDA,11:35,12:30,55,0.92
ATR-4,BL-ATD,SCI,AB324,6,CDA,SCI,13:00,13:30,30,0.5
ATR-4,BL-ATD,SCI,AB325,7,SCI,CBL,14:10,15:10,60,1.0
ATR-4,BL-ATD,SCI,AB326,8,CBL,SCI,15:40,16:40,60,1.0
ATR-4,BL-ATD,SCI,AB327,9,SCI,CDA,17:20,17:50,30,0.5
ATR-4,BL-ATD,SCI,AB328,10,CDA,SCI,18:20,18:50,30,0.5
ATR-5,BL-ATE,SCI,AB329,1,SCI,ALT,06:00,06:50,50,0.83
ATR-5,BL-ATE,SCI,AB330,2,ALT,SCI,07:20,08:10,50,0.83
ATR-5,BL-ATE,SCI,AB331,3,SCI,MTR,08:50,10:00,70,1.17
ATR-5,BL-ATE,SCI,AB332,4,MTR,SCI,10:30,11:40,70,1.17
ATR-5,BL-ATE,SCI,AB333,5,SCI,ALT,12:20,13:10,50,0.83
ATR-5,BL-ATE,SCI,AB334,6,ALT,SCI,13:40,14:30,50,0.83
ATR-5,BL-ATE,SCI,AB335,7,SCI,IGU,15:10,15:45,35,0.58
ATR-5,BL-ATE,SCI,AB336,8,IGU,SCI,16:15,16:50,35,0.58
ATR-6,BL-ATF,SBT,AB337,1,SBT,PBL,06:00,07:20,80,1.33
ATR-6,BL-ATF,SBT,AB338,2,PBL,SBT,07:50,09:10,80,1.33
ATR-6,BL-ATF,SBT,AB339,3,SBT,CDA,09:50,10:45,55,0.92
ATR-6,BL-ATF,SBT,AB340,4,CDA,SBT,11:15,12:10,55,0.92
ATR-6,BL-ATF,SBT,AB341,5,SBT,PBL,12:50,14:10,80,1.33
ATR-6,BL-ATF,SBT,AB342,6,PBL,SBT,14:40,16:00,80,1.33
ATR-6,BL-ATF,SBT,AB343,7,SBT,CDA,16:40,17:35,55,0.92
ATR-6,BL-ATF,SBT,AB344,8,CDA,SBT,18:05,19:00,55,0.92
ATR-7,BL-ATG,SBT,AB345,1,SBT,NOV,06:00,06:40,40,0.67
ATR-7,BL-ATG,SBT,AB346,2,NOV,SBT,07:10,07:50,40,0.67
ATR-7,BL-ATG,SBT,AB349,3,SBT,NOV,10:20,11:00,40,0.67
ATR-7,BL-ATG,SBT,AB350,4,NOV,SBT,11:30,12:10,40,0.67
ATR-7,BL-ATG,SBT,AB351,5,SBT,SLZ,12:50,14:00,70,1.17
ATR-7,BL-ATG,SBT,AB352,6,SLZ,SBT,14:30,15:40,70,1.17
ATR-8,BL-ATH,SBT,AB353,1,SBT,VEL,06:00,06:55,55,0.92
ATR-8,BL-ATH,SBT,AB354,2,VEL,SBT,07:25,08:20,55,0.92
ATR-8,BL-ATH,SBT,AB355,3,SBT,SLZ,09:00,10:10,70,1.17
ATR-8,BL-ATH,SBT,AB356,4,SLZ,SBT,10:40,11:50,70,1.17
ATR-8,BL-ATH,SBT,AB357,5,SBT,VEL,12:30,13:25,55,0.92
ATR-8,BL-ATH,SBT,AB358,6,VEL,SBT,13:55,14:50,55,0.92
ATR-8,BL-ATH,SBT,AB359,7,SBT,SLZ,15:30,16:40,70,1.17
ATR-8,BL-ATH,SBT,AB360,8,SLZ,SBT,17:10,18:20,70,1.17
ATR-9,BL-ATI,SBT,AB361,1,SBT,EAI,06:00,06:50,50,0.83
ATR-9,BL-ATI,SBT,AB362,2,EAI,SBT,07:10,08:00,50,0.83
ATR-9,BL-ATI,SBT,AB363,3,SBT,LES,08:40,09:25,45,0.75
ATR-9,BL-ATI,SBT,AB364,4,LES,SBT,09:45,10:30,45,0.75
ATR-9,BL-ATI,SBT,AB365,5,SBT,EAI,14:00,14:50,50,0.83
ATR-9,BL-ATI,SBT,AB366,6,EAI,SBT,15:10,16:00,50,0.83
ATR-10,BL-ATJ,SBT,AB367,1,SBT,PDA,06:00,06:55,55,0.92
ATR-10,BL-ATJ,SBT,AB368,2,PDA,SBT,07:15,08:10,55,0.92
ATR-10,BL-ATJ,SBT,AB369,3,SBT,STC,09:00,10:10,70,1.17
ATR-10,BL-ATJ,SBT,AB370,4,STC,SBT,10:30,11:40,70,1.17
ATR-10,BL-ATJ,SBT,AB371,5,SBT,PDA,13:00,13:55,55,0.92
ATR-10,BL-ATJ,SBT,AB372,6,PDA,SBT,14:15,15:10,55,0.92
ATR-11,BL-ATK,SBT,AB373,1,SBT,AMP,06:00,06:55,55,0.92
ATR-11,BL-ATK,SBT,AB374,2,AMP,SBT,07:15,08:10,55,0.92
ATR-11,BL-ATK,SBT,AB375,3,SBT,FOI,09:00,09:50,50,0.83
ATR-11,BL-ATK,SBT,AB376,4,FOI,SBT,10:10,11:00,50,0.83
ATR-11,BL-ATK,SBT,AB377,5,SBT,SMN,12:00,13:35,95,1.58
ATR-11,BL-ATK,SBT,AB378,6,SMN,SBT,14:00,15:35,95,1.58
ATR-11,BL-ATK,SBT,AB379,7,SBT,AMP,16:30,17:25,55,0.92
ATR-11,BL-ATK,SBT,AB380,8,AMP,SBT,17:45,18:40,55,0.92
