name,ticker,sector,market_cap_bn,description
Banc Balboa,BB,Banks,12.0,Largest Balboan bank; retail
Abyala Telecom,AT,Telecommunication Services,19.5,Largest telecom provider in southern Abyala and Potocsí; mobile/broadband across Balboa/Potocsí/Tapuya/Lacashe + MVNO in Asikyira/Sanrobonia; ~120M subscribers; founded 1908 as Diànxìn Papoa Sio̍ktē (Zong Balboa state enterprise); privatised 1953; Arimany family 12%; CEO Pere Bosch (ex-TeleVoli); HQ Sant Cristòfor
SY Balboa,SYB,Banks,8.0,Commercial
Assegurances Heping,HEP,Insurance,6.0,Largest Balboan insurer; marine
Humà Banc Balboa,HB,Banks,5.5,Retail
BdSC Corporació,BDC,Financial Services,5.0,Financial markets infrastructure (owns Bolsa de Sant Cristòfor
Casa Balboa,CBS,Banks,4.5,Largest mortgage provider; 50% government-owned; seized during real-estate crisis; founded 1979; HQ Sant Cristòfor
Transisthmus,TIS,Insurance,4.0,Life and health insurer; interior provinces focus; Birú Dale community trust ownership; founded 1982; HQ Sant Bart
Banc de Jala,JLA,Banks,3.5,Largest interior bank; rump state heritage; agricultural and commercial lending; founded 1902; HQ Sant Bart
Banc de l'Istme,BDI,Financial Services,3.5,Diversified financial services; commercial banking
Intercon Mercaderies,ICM,Transportation,8.0,Largest overland freight operator; spun off from Intercon (state rail); road
L'empresa del Canal i el Port,ECP,Transportation,7.0,Port and canal services operator (50% government-owned); provides pilotage
Navegació de Balboa,NAV,Transportation,5.5,National shipping line; 42 vessels (28 container
Serveis del Canal de Balboa,SCB,Transportation,5.0,Canal transit and agency services; exclusive pilotage; 280 pilots
Assegurances Unificades d'Abyala,AUA,Insurance,4.5,Largest cross-border Abyalan insurer; life
Recursos del Marañón,RDM,Metals Mining,5.5,Energy and minerals trader; oil
Expres Polla,XP,Consumer Services,4.0,Largest fast food chain in Abyala; 1
Grup Ciutat Nova,GCN,Real Estate Management Development,7.0,Largest Balboan property developer; shopping centres
Construccions de Sant Cristòfor,CSC,Real Estate Management Development,5.5,Largest residential developer; apartments and mixed-use; 28
Grup JJ,GJJ,Capital Goods,4.5,Largest infrastructure contractor; dams
Finques Superiors,FNS,Real Estate Management Development,3.5,Luxury high-rise developer; 24 towers (16 SC
Cases Justes,CJ,Real Estate Management Development,3.5,Largest suburban homebuilder and residential landlord; 18
HRX,HRX,Consumer Retailing,7.0,Largest department store operator; 58 dept stores
ECafè,ECF,Consumer Services,5.0,Food and package delivery platform; ECartera P2P payments; unprofitable; founded 2015; HQ Dàrsena
Mercaderies del Canal,MDC,Financial Services,4.0,Commodity trading and export management; 1994 bubble crash trigger; restructured 1994-96; HQ Sant Cristòfor
Companyia Grand Balboa,CGB,Capital Goods,7.0,Largest industrial conglomerate; construction materials
Hirocorp,HRC,Capital Goods,4.2,Largest food processing conglomerate; sugar
Corporació Agrícola de l'Istme,CAI,Food Beverage Tobacco,5.0,Largest listed agricultural operator; sugar
Més Gran Corporació,MSC,Food Beverage Tobacco,3.0,Largest agricultural commodity trader; coffee
Grup Pastel,GPT,Consumer Services,6.0,Largest hotel and holiday package operator; 42 properties; 10% Grup Extraviatjar
Mineria de Mario,MDM,Metals Mining,4.0,Highland mineral extraction and export; gold
