Airport,IATA,Passengers (2025),Aircraft Movements (2025),Cargo tonnes (2025),Aeronautical Revenue,Non-Aeronautical Revenue,Government Subsidy,Total Revenue
Sant Cristòfor International,SCI,34812000,287400,612000,256758000,100030000.0,0,356788000.0
Cecilio Ríos International,SBT,6842000,62100,48500,53439000,13078800.0,0,66517800.0
Portnou International,PNU,3240000,28400,48000,24772000,8036000.0,0,32808000.0
Badia Curta International,BDC,1800000,15000,0,13350000,2640000.0,0,15990000.0
Sant Llàtzer International,SLZ,1800000,15000,0,13350000,2640000.0,0,15990000.0
Haicang International,HAI,1200000,10000,0,8900000,1860000.0,0,10760000.0
Novara,NOV,1100000,13750,0,5775000,595000.0,0,6370000.0
Vellmar,VEL,720000,9000,0,3780000,424000.0,0,4204000.0
Campdària,CDA,650000,8125,0,3412500,392500.0,0,3805000.0
Portblanc,PBL,480000,8000,0,2880000,316000.0,0,3196000.0
Costabella,CBL,320000,5333,0,1919940,244000.0,0,2163940.0
Altaneu,ALT,350000,5833,0,2099940,257500.0,0,2357440.0
Marie Torres,MTR,280000,4666,0,1679880,226000.0,0,1905880.0
Illes del Guano,IGU,220000,3666,0,1319880,199000.0,0,1518880.0
Platja d'Aro,PDA,180000,3000,0,1080000,181000.0,300000,1561000.0
Amelio Perez,AMP,140000,2333,0,839940,163000.0,300000,1302940.0
Santa Caterina,STC,95000,2375,0,712500,142750.0,1500000,2355250.0
L'Estany,LES,85000,2125,0,637500,138250.0,1500000,2275750.0
Sant Cristòfor Els Aiguamolls,EAI,80000,2000,0,600000,136000.0,1500000,2236000.0
Foia Gran,FOI,75000,1875,0,562500,133750.0,1500000,2196250.0
Illa Daurada,IDA,60000,2400,0,612000,127000.0,1500000,2239000.0
Sant Jorge,SJD,55000,1375,0,412500,124750.0,1500000,2037250.0
Sant Martí del Nord,SMN,40000,1000,0,300000,118000.0,1500000,1918000.0
Total,,54624000,494756,708500,399193080,132203300.0,11100000,542496380.0
