Full Name,Role/Description,Source Filename
Jordi Rovira i Mas,First president of the Republic of Balboa (1854-1858),Republic of Balboa (1854–1899).mediawiki
Rafael Crespo i Soler,President of Balboa; assassinated 1880 by Tàn Hui-chye,Republic of Balboa (1854–1899).mediawiki
Carles Muntaner i Rius,President during the Sant Bart's Coup of 1888,Republic of Balboa (1854–1899).mediawiki
Rodrigo Velásquez,Authoritarian leader installed by 1888 coup; Balboa Independence Party,Republic of Balboa (1854–1899).mediawiki
Darío Caballero,Last president of rump state (1968-1973); negotiated reunification,Republic of Balboa (1899–1973).mediawiki
Tomás Guerrero,First post-Guarantees president; BPP; implemented Twelve Guarantees,Republic of Balboa (1899–1973).mediawiki
Efraín Solís,President (1948-1956); Plataforma Balboa Unificada,Politics of Balboa.mediawiki
Cecilio Ríos,President (1956-1962); Festa per Balboa,Politics of Balboa.mediawiki
Miquel Torrent i Alvarado,1st post-reunification president (1973-1983); BPP,Presidents of Balboa.mediawiki
Roser Muntaner i Ferrer,First woman president (1983-1993); BPP,Presidents of Balboa.mediawiki
Amàlia Rovira i Sastre,World Cup-era president (1993-2004); BPP,Presidents of Balboa.mediawiki
Salvador Cardona i Paredes,President (2004-2014); BPP; financial services boom,Presidents of Balboa.mediawiki
Teresa Solé i Aranda,Reform president (2014-2024); BPP,Presidents of Balboa.mediawiki
Lim Hui-jin,First Fosian-descended president (2024-present); BPP,Presidents of Balboa.mediawiki
Francesc Vidal i Soler,First mayor of Sant Cristòfor (1854-1858); Volisanian-aligned merchant,Mayors of Sant Cristofor.mediawiki
Josep Mas i Rovira,Mayor (1858-1861); shipping magnate; died in office,Mayors of Sant Cristofor.mediawiki
Amadeu Riera i Cabot,Notoriously corrupt mayor (1861-1873); Escàndol Ferroviari,Mayors of Sant Cristofor.mediawiki
Bernat Pomar i Esteva,Reform mayor (1873-1877); blocked by city council,Mayors of Sant Cristofor.mediawiki
Rafel Torres i Móra,Mayor (1877-1882); Dàrsena landowner,Mayors of Sant Cristofor.mediawiki
Joan Ballester i Forteza,Mayor (1882-1886); assassinated at Sant Cristòfor Central Terminal,Mayors of Sant Cristofor.mediawiki
Miquel Renom i Valls,Interim mayor (1886-1888); caretaker after assassination,Mayors of Sant Cristofor.mediawiki
Antoni Cruells i Pujol,Mayor (1888-1893); installed after Sant Bart's Coup; anti-Fosian policies,Mayors of Sant Cristofor.mediawiki
Pere Gomila i Sastre,Last mayor of First Republic (1893-1899); fled ahead of Zong forces,Mayors of Sant Cristofor.mediawiki
Lîm Chheng-hoân,First Grand Administrator of Sant Cristòfor (1899-1906); military appointee,Mayors of Sant Cristofor.mediawiki
Ngô͘ Un-bûn,Grand Administrator (1906-1912); infrastructure focus,Mayors of Sant Cristofor.mediawiki
Chhàn Tek-khiam,Grand Administrator (1912-1924); anti-discrimination reforms; Metro Line 1,Mayors of Sant Cristofor.mediawiki
Lîm Bûn-seng,Grand Administrator (1924-1935); Metro Line 2; port expansion,Mayors of Sant Cristofor.mediawiki
Khò͘ Chèng-iong,Wartime Grand Administrator (1935-1943); Great Adonian War,Mayors of Sant Cristofor.mediawiki
Tân Hông-hui,Grand Administrator (1943-1950); post-war reconstruction,Mayors of Sant Cristofor.mediawiki
Elena Vargas i Aldana,First elected mayor (1951-1956); poet and journalist; No Return supporter,Mayors of Sant Cristofor.mediawiki
Rafael Crespo i Ousmane,Mayor (1956-1960); businessman; Eastern Highway,Mayors of Sant Cristofor.mediawiki
Miquel Aldana i Vargas,First post-mandate mayor (1960-1968); BPP,Mayors of Sant Cristofor.mediawiki
Teresa Bosch i Renom,Mayor (1968-1976); BPP; Metro Lines 4 and 5,Mayors of Sant Cristofor.mediawiki
Tân Kiàn-bûn,Mayor (1976-1984); BPP; Treaty of Areza era,Mayors of Sant Cristofor.mediawiki
Carles Riera i Forteza,First Liberal mayor (1984-1992); deindustrialisation begins,Mayors of Sant Cristofor.mediawiki
Montserrat Vidal i Sastre,Mayor (1992-2000); Liberal; airport opens,Mayors of Sant Cristofor.mediawiki
Lîm Chèng-hong,Mayor (2000-2008); BPP; 2003 parliament bombing,Mayors of Sant Cristofor.mediawiki
Dolors Ferrer i Aldana,Mayor (2008-2016); BPP; Metro Lines 6/7/8,Mayors of Sant Cristofor.mediawiki
Phạm Đức Minh,Mayor (2016-2024); Liberal; Sinchewese-Balboan; cycling network,Mayors of Sant Cristofor.mediawiki
Núria Gomila i Renom,Mayor (2024-2025); BPP; arrested in financial crimes investigation,Mayors of Sant Cristofor.mediawiki
Oriol Cardona i Ousmane,Current mayor (2025-present); FSB; first FSB mayor,Oriol Cardona i Ousmane.mediawiki
Mireia Soler i Pons,Wife of mayor Oriol Cardona i Ousmane,Oriol Cardona i Ousmane.mediawiki
Tàn Hui-chye,Sinchewese canal worker; assassinated President Rafael Crespo i Soler in 1880,Lliure Moviment de Treballadors.mediawiki
Francesc Alemany i Bosch,Founder/leader of Primera Ordre de Balboa white nationalist terrorist organisation,Primera Ordre de Balboa.mediawiki
Lluís Alemany i Sala,Father of Francesc Alemany i Bosch; wealthy Tramuntana planter,Primera Ordre de Balboa.mediawiki
Joan Ballester i Font,POB operative; carried out Sant Bart University bombing,Primera Ordre de Balboa.mediawiki
Rafel Soler i Mas,POB operative; carried out Sant Bart University bombing,Primera Ordre de Balboa.mediawiki
Pere Vidal i Renom,POB operative; carried out Sant Bart University bombing,Primera Ordre de Balboa.mediawiki
Bartomeu Riera i Solà,Deputy mayor of Sant Bart; assassinated by POB in 1975,Primera Ordre de Balboa.mediawiki
Miquela Aldana,Creole-language poet and essayist; founding editor of La Voz del Istmo; No Return movement,La Voz del Istmo.mediawiki
Oriol Cardona,Cultural journalist; coined term ""istmo son""; La Voz del Istmo correspondent,La Voz del Istmo.mediawiki
Djanèt Ousmane,Dakari-descended labour organiser; La Voz del Istmo labour correspondent,La Voz del Istmo.mediawiki
Elena Vargas,Poet; La Voz del Istmo poetry contributor; published ""The Walls"" (1954),La Voz del Istmo.mediawiki
