name,nation,era,role,dob,dod,description,source
Aleix Riera,Balboa,,"Esports player, streamer",1999,,,articles/Countries/Balboa/Media/Aleix Riera.mediawiki
Alessandro Massagué,Balisca,,Secretary of Climate and the Environment,1977,,,articles/Countries/Balisca/People/Alessandro Massagué.mediawiki
Andrea Palacios,Balisca,,,1972,,,articles/Countries/Balisca/People/Andrea Palacios.mediawiki
Anjō Motonobu,,,Lord of Mikata,1544,1589,,articles/unorganized/Anjō Motonobu.mediawiki
Anjō Motoyasu,,,Lord of Mikata,1576,1643,,articles/unorganized/Anjō Motoyasu.mediawiki
Ariranha,Balisca,,,1861,1924,,articles/Countries/Balisca/People/Ariranha.mediawiki
Bacha XIX,,,King of Qym,2410,2441,,articles/unorganized/Bacha XIX of Qym.mediawiki
Bacha XVII,,,King of Qym,2334,,,articles/unorganized/Bacha XVII of Qym.mediawiki
Bacha XVIII,,,King of Qym,2365,,,articles/unorganized/Bacha XVIII of Qym.mediawiki
Bacha XX,,,King of Qym,2368,,,articles/unorganized/Bacha XX of Qym.mediawiki
Bile Sago,Burawa,,Senator for Dafar Sare Rural Administration,1963,,,articles/Countries/Burawa/Events/Bile Sago.mediawiki
Cagmadhige,,,King of Ufyen,,,,articles/unorganized/Cagmadhige.mediawiki
Cristiano Sandoval,Balisca,,Secretary General of Balisca,1963,,,articles/Countries/Balisca/People/Cristiano Sandoval.mediawiki
Diego Navarro,Balisca,,,1940,2020,,articles/Countries/Balisca/People/Diego Navarro.mediawiki
Elyanna Morejón,Balisca,,Secretary of Finance and Civil Service,1992,,,articles/Countries/Balisca/People/Elyanna Morejón.mediawiki
Emperor Daigo<br>,,,,1580,1643,,articles/unorganized/Emperor Daigo of Mitoyagi.mediawiki
Ernesto Lacunya,,,"Explorer, Navigator, Merchant",1584,1642,,articles/unorganized/Ernesto Lacunya.mediawiki
Esteban Makurí,Guajicutea,,"Political organiser, pamphleteer",,,,articles/Countries/Guajicutea/Politics/Esteban Makurí.mediawiki
Fabrício Calazans,Balisca,,Deputy Secretary General of Balisca,1989,,,articles/Countries/Balisca/People/Fabrício Calazans.mediawiki
Francesca Solà i Verdú,Balboa,,Founder and Chairman of Grup Químic Central,1970,,,articles/Countries/Balboa/People/Francesca Solà i Verdú.mediawiki
Fumio Gotō,,,Prime Minister of Okaiken,1884,1958,,articles/unorganized/Fumio Gotō.mediawiki
Genzui Kusaka,,,Prime Minister of Okaiken,1911,1986,,articles/unorganized/Genzui Kusaka.mediawiki
Giorgis Nuur,Burawa,,Leader of the Christian Socialist Union,1953,,,articles/Countries/Burawa/People/Giorgis Nuur/Giorgis Nuur.mediawiki
Guled Badweyn,Burawa,,Governor of Lacashe,1483,1550,,articles/Countries/Burawa/People/Guled Badweyn.mediawiki
Hancil Thea,Burawa,,Leader of the Burawi Republic,1981,,,articles/Countries/Burawa/People/Hancil Thea.mediawiki
Heitarō Seda,,,50th Prime Minister of Okaiken,1948,,,articles/unorganized/Heitarō Seda.mediawiki
Hernandez Lee,Balboa,,Activist; university student,1997,2021,,articles/Countries/Balboa/People/Hernandez Lee.mediawiki
Honda Shigemasa,,,4th Shogun,1605,1671,,articles/unorganized/Honda Shigemasa.mediawiki
Honda Shigetoki,,,3rd Shogun,1583,1651,,articles/unorganized/Honda Shigetoki.mediawiki
Honda Shigetomo,,,Shogun,1582,1625,,articles/unorganized/Honda Shigetomo.mediawiki
Hotta Muneshige,,,Senior Retainer of the Honda Shogunate,1575,1648,,articles/unorganized/Hotta Muneshige.mediawiki
Iacob II,,,,870,938,,articles/unorganized/Iacob II.mediawiki
Ii Naotaka,,,Lord of Ichijoudani,1583,1625,,articles/unorganized/Ii Naotaka.mediawiki
Jonaes Mendosas i Vidal,Balboa,,Security guard (former),1986,,,articles/Countries/Balboa/People/Jonaes Mendosas i Vidal.mediawiki
Josuè Subirà,Balisca,,,1985,,,articles/Countries/Balisca/People/Josuè Subirà.mediawiki
Josèp Bernat,Balisca,,,1834,1903,,articles/Countries/Balisca/People/Josèp Bernat.mediawiki
Juichi Miyazaki,,,"1st, 5th, 7th, 10th Prime Minister of Okaiken",1831,1902,,articles/unorganized/Juichi Miyazaki.mediawiki
Julio Nakayama,Balboa,,Esports player,1996,,,articles/Countries/Balboa/Media/Julio Nakayama.mediawiki
Katō Masazumi,,,Prime Minister of Okaiken,1925,2020,,articles/unorganized/Katō Masazumi.mediawiki
Katō Takaaki,,,Prime Minister of Okaiken,1860,1933,,articles/unorganized/Katō Takaaki.mediawiki
Kenshin Hirota,,,49th Prime Minister of Okaiken,1938,2018,,articles/unorganized/Kenshin Hirota.mediawiki
Koichiro Sadanuma,,,Leader of the Opposition,1981,,,articles/unorganized/Koichiro Sadanuma.mediawiki
Koyasu Eikichi,,,| activist|Congressional delegate}},1882,1948,,articles/unorganized/Koyasu Eikichi.mediawiki
Kulmis,,,King of Ufyen,,,,articles/unorganized/Kulmis.mediawiki
Kōki Hirota,,,24th Prime Minister of Okaiken<br>(Empire of Mitoyagi),1887,1953,,articles/unorganized/Kōki Hirota.mediawiki
Leila Martins Carvalho,Balisca,,,1960,,,articles/Countries/Balisca/People/Leila Martins Carvalho.mediawiki
Liban Qaasim,Burawa,,Chairman of the Industrial Party of Burawa,1971,,,articles/Countries/Burawa/People/Liban Qaasim/Liban Qaasim.mediawiki
Lidia Bikarí,Guajicutea,,Member of the Asamblea Nacional,,,,articles/Countries/Guajicutea/Politics/Lidia Bikarí.mediawiki
Lim Hui-jin,Balboa,,President of Balboa,1964,,,articles/Countries/Balboa/Politics/Lim Hui-jin.mediawiki
Manaa Kadar,Burawa,,Leader of the Burawi Republic,1872,1945,,articles/Countries/Burawa/People/Maana Kadar.mediawiki
Marcos Aldana,Zong Balboa,,"Novelist, short story writer, journalist, typesetter",1898,1959,,articles/Former_Countries/Zong_Balboa/Marcos Aldana.mediawiki
Margarida Soler i Besora,Balboa,,,1885,1958,,articles/Countries/Balboa/People/Margarida Soler i Besora.mediawiki
Marik Sahamin,Burawa,,Leader of the Burawi Republic,1977,,,articles/Countries/Burawa/People/Marik Sahamin/Marik Sahamin.mediawiki
Masahito,,,Emperor of Okaiken,1967,,,articles/unorganized/Masahito.mediawiki
Mayke Almodovar,Balisca,,,1859,1929,,articles/Countries/Balisca/People/Mayke Almodovar.mediawiki
Michelangelo Valentino,Balisca,,,1793,1875,,articles/Countries/Balisca/People/Michelangelo Valentino.mediawiki
Michi Fumizuki,Balisca,,Secretary of Digitalization,1987,,,articles/Countries/Balisca/People/Michi Fumizuki.mediawiki
Michifumi Aono,,,Governor of Okami Metropolis,1982,,,articles/unorganized/Aono Michifumi.mediawiki
Michiko,,,Empress of Okaiken,1970,,,"articles/unorganized/Michiko, Empress of Okaiken.mediawiki"
Montserrat Riera i Sola,Balboa,,,1948,,,articles/Countries/Balboa/People/Montserrat Riera i Sola.mediawiki
Muna Xasan,Burawa,,Member of the Lower House for Cadina-1,1984,,,articles/Countries/Burawa/People/Muna Xasan/Muna Xasan.mediawiki
Murakami Motosuke,,,Lord of Ishiwara,1564,1632,,articles/unorganized/Murakami Motosuke.mediawiki
Mário Sá Justino,Balisca,,,1921,2009,,articles/Countries/Balisca/People/Mário Sá Justino.mediawiki
Ogasawara Terumasa,,,"Daimyō, Samurai, Military Commander",1540,1592,,articles/unorganized/Ogasawara Terumasa.mediawiki
Oizumi Yu,,,Leader of the Okaiken Socialist Party,1958,,,articles/unorganized/Oizumi Yu.mediawiki
Oriol Cardona i Ousmane,Balboa,,Mayor of Sant Cristòfor,1991,,,articles/Countries/Balboa/Society/Oriol Cardona i Ousmane.mediawiki
Otávia Brito,Balisca,,,1932,2001,,articles/Countries/Balisca/People/Otávia Brito.mediawiki
Pablo Asunción,Balisca,,,1891,1978,,articles/Countries/Balisca/People/Pablo Asunción.mediawiki
Pavitr Prabhakar,Balisca,,Secretary of International Development,1991,,,articles/Countries/Balisca/People/Pavitr Prabhakar.mediawiki
Pere Bosch,Balboa,,CEO of Abyala Telecom,1971,,,articles/Countries/Balboa/People/Pere Bosch.mediawiki
Pere Bosch i Vargas,Balboa,,,1948,,,articles/Countries/Balboa/People/Pere Bosch i Vargas.mediawiki
President of the Bolodun and Kuvari Islands,Bolodun and Kuvari Islands,,President of the Bolodun and Kuvari Islands,,,,articles/Countries/Bolodun and Kuvari Islands/Politics/President of the Bolodun and Kuvari Islands.mediawiki
Princess Kiko,,,Princess Kiko of Okaiken,2006,,,"articles/unorganized/Kiko, Princess of Okaiken.mediawiki"
Raül Moragas,Balisca,,,1944,2024,,articles/Countries/Balisca/People/Raül Moragas.mediawiki
Rento Nakayama,Balisca,,Minister of Health and Welfare,1993,,,articles/Countries/Balisca/People/Rento Nakayama.mediawiki
Reo Nakasone,Balisca,,Member of the House of Commoners<br>for Ishijima 3rd District,1965,,,articles/Countries/Balisca/People/Reo Nakasone.mediawiki
Ryuji Takemoto,,,"Daimyō (formerly), Pirate, Explorer, Settler",1668,1729,,articles/unorganized/Ryuji Takemoto.mediawiki
Sadakazu Tanizaki,,,Prime Minister of Okaiken,1961,,,articles/unorganized/Sadakazu Tanizaki.mediawiki
Sahra,Galwa,,Regent of the Kingdom of Galwa,1675,1740,,articles/Countries/Galwa/People/Sahra of Galwa.mediawiki
Samir Zárate,Balisca,,,1845,1923,,articles/Countries/Balisca/People/Samir Zárate.mediawiki
Sasuke Genba,,,52nd Prime Minister of Okaiken,1955,2013,,articles/unorganized/Sasuke Genba.mediawiki
Shigehara Honda,,,"63rd, 66th Prime Minister of Okaiken",1936,2019,,articles/unorganized/Shigehara Honda.mediawiki
Shigetsuma Honda,,,Prime Minister of Okaiken,1967,,,articles/unorganized/Shigetsuma Honda.mediawiki
Shimotsuma Rairen,,,1st Monshu of Nishi-Tateyama Honganji,1570,1650,,articles/unorganized/Shimotsuma Rairen.mediawiki
Shirakawa<br><br>Honda Shigetada<br>,,,,1556,1625,,articles/unorganized/Emperor Shirakawa of Mitoyagi.mediawiki
Sho Aoyagi,,,Prime Minister of Okaiken,1979,,,articles/unorganized/Sho Aoyagi.mediawiki
Siyaad Yussuf,Balisca,,15th Commissar of the Castejón Metropolis,1987,,,articles/Countries/Balisca/People/Siyaad Yussuf.mediawiki
