Year,Host,1st,2nd,3rd,4th,5th,6th,7th,8th,9th,10th,11th,12th,13th,14th,15th,16th
1958,Burawa,Burawa,Balisca,Volisania,Asikyira,Galwa,Orma,United Midlands,Zong,Breisland,Daras,Nusaraya,Aetolia,Jarin,Sinchew,Louyan
1962,Volisania,Volisania,Asikyira,Burawa,Balisca,Galwa,Orma,Zong,United Midlands,Daras,Breisland,Aetolia,Jarin,Sinchew,Nusaraya,Okaiken
1966,Balisca,Balisca,Burawa,Asikyira,Volisania,Galwa,Zong,United Midlands,Daras,Orma,Breisland,Nusaraya,Aetolia,Jarin,Sinchew,Okaiken
1970,Asikyira,Asikyira,Balisca,Burawa,Volisania,Zong,United Midlands,Galwa,Daras,Orma,Breisland,Nusaraya,Aetolia,Jarin,Okaiken,Sinchew
1974,United Midlands,United Midlands,Burawa,Asikyira,Balisca,Volisania,Galwa,Zong,Daras,Orma,Breisland,Nusaraya,Aetolia,Jarin,Okaiken,Sinchew
1978,Burawa,Galwa,Asikyira,Volisania,Burawa,Zong,United Midlands,Balisca,Daras,Orma,Breisland,Nusaraya,Aetolia,Jarin,Okaiken,Sinchew
1982,Breisland,Balisca,Burawa,Asikyira,Volisania,Galwa,Zong,United Midlands,Daras,Orma,Balboa,Nusaraya,Aetolia,Jarin,Okaiken,Sinchew
1986,Burawa,Asikyira,Burawa,Balisca,Zong,Volisania,Daras,Galwa,United Midlands,Orma,Aetolia,Louyan,Nakamizu,Balboa,Bayara,Sanyan
1990,Volisania,Volisania,Burawa,Balisca,Asikyira,Zong,United Midlands,Galwa,Daras,Orma,Breisland,Nusaraya,Balboa,Aetolia,Jarin,Okaiken
1994,Balisca,Daras,Balisca,Burawa,Volisania,Zong,United Midlands,Galwa,Asikyira,Orma,Balboa,Nusaraya,Aetolia,Jarin,Okaiken,Breisland
1998,Asikyira,Asikyira,Burawa,Balisca,Volisania,Zong,United Midlands,Galwa,Daras,Orma,Breisland,Nusaraya,Balboa,Aetolia,Jarin,Okaiken
2002,Okaiken,Burawa,Balisca,Asikyira,Volisania,Zong,United Midlands,Galwa,Daras,Orma,Breisland,Nusaraya,Aetolia,Jarin,Okaiken,Dagit
2006,Breisland,Balboa,Asikyira,Burawa,Balisca,Volisania,Zong,United Midlands,Galwa,Daras,Orma,Breisland,Nusaraya,Aetolia,Jarin,Okaiken
2010,Nusaraya,Burawa,Asikyira,Balisca,Volisania,Zong,United Midlands,Galwa,Daras,Orma,Breisland,Dagit,Nusaraya,Balboa,Aetolia,Jarin
2014,United Midlands,United Midlands,Burawa,Asikyira,Balisca,Volisania,Zong,Galwa,Daras,Orma,Breisland,Nusaraya,Dagit,Balboa,Aetolia,Jarin
2018,Galwa,Asikyira,Burawa,Balisca,Volisania,Zong,United Midlands,Daras,Orma,Breisland,Nusaraya,Dagit,Balboa,Aetolia,Jarin,Okaiken
2022,Okaiken,Balisca,Burawa,Asikyira,Volisania,Zong,United Midlands,Galwa,Daras,Orma,Breisland,Nusaraya,Dagit,Balboa,Aetolia,Jarin
