name,era,role,dob,dod,description
Taba Waku,Pre-Colonial,Cacique Má,,,"First Cacique Má (516 CE). Started the calendar."
Bikabá Yabí,Pre-Colonial,Cacique Má,,,"Catacomb builder. Early cacique."
Wirá Yabí,Pre-Colonial,Cacique Má,,,"Cacique during great hurricane (1143 CE)."
Waku Tabá,Pre-Colonial,Cacique Má,,1190,"Reconstruction ruler (1162–1190 CE). Built inland capital post-hurricane."
Kanu Maku,Pre-Colonial,Cacique Má,,,"Cacique. First tributaries established (~1300s)."
Guani Buka,Pre-Colonial,Cacique Má,,,"Cacique during population peak (~1400 CE). Trade expansion."
Warí Kuru,Pre-Colonial,Cacique Má,,,"Cacique during cultural flowering."
Bika Kuru,Pre-Colonial,Cacique Má,,,"Cacique during Kari Wirá (Tapuyic War). Commissioned sewn-plank war fleet."
Guani Waku,Pre-Colonial,Cacique Má,,938,"Cacique (912–938 CE). Attempted to assassinate Warí. Both died."
Yabí Tabá,Pre-Colonial,Cacique Má,,1536,"Last pre-pestilence Cacique Má (reigned 1480–1536). Sent son to Lacashe 1523. Died during Great Pestilence."
Kari Buka,Pre-Colonial,Captain,,,"Captain (""Sea Opener""). Led Kari Yabí northern voyage (1502–1514)."
Guled Badweyn,Colonial-Burawi,Explorer,,,"Burawi explorer. First contact with Guajicutea (Dec 5 1520)."
Pere Vidal,Colonial-Burawi,Captain,,,"Volisanian galleon captain. Brief stop at Guajicutea (April 1527)."
Marcos Gabra,Colonial-Burawi,Missionary,,,"Father Marcos. Baraka Order missionary. Arrived 1523."
Dawit Wolde,Colonial-Burawi,Governor of Lacashe,,,"Governor of Lacashe. Visited 1528. Recorded Yabí Tabá's 1523 son arrangement."
Yohannes Tadesse,Colonial-Burawi,Governor of Lacashe,,,"Governor of Lacashe. Organized kingdom treaty (1536)."
Boqor Petros I,Colonial-Burawi,Boqor,c. 1510,Jan 14 1554,"Yabí Tabá's son. Baptized in Lacashe. First Boqor (1536–1554). Ruled from Tabakurí."
Boqor Petro II,Colonial-Burawi,Boqor,c. 1532,Feb 3 1554,"Petros I's first son. Crowned and assassinated at coronation same day (1554)."
Boqor Dawit I,Colonial-Burawi,Boqor,c. 1535,1598,"Petros I's second son. Reigned 44 years (1554–1598). Volisania-backed."
Boqor Carlos I,Colonial-Burawi,Boqor,~1576,1609,"Dawit I's son. First king with Sartan name. Reigned 1598–1609. Deposed during Sarta-Guajicutea War."
Buka Wariban,Colonial-Burawi,Bikabári,,,"Bikabári of Waribá. Volisania conspirator. Seized Dabra during 1554 civil war."
Bishop Tekle Mariam,Colonial-Burawi,Bishop,,,"Bishop of New Burawa. Intervened 1543 to stop violence."
Governor Tewolde Berhe,Colonial-Burawi,Governor of Lacashe Province,,,"Governor of Lacashe Province. Ordered cessation of hostilities 1543."
Diego Vela,Colonial-Sartan,Governor,,,"First Sartan colonial governor (1609–1618). Oversaw establishment purge embargo first famine. Recalled 1618."
Alonso Mera,Colonial-Sartan,Governor,,,"Second Sartan governor (1618–1630). Post-embargo stabilization trade resumption arrival cap."
Gabriel Soto,Colonial-Sartan,Governor,,,"Third Sartan governor (1630–1640)."
Hernán Vargas,Colonial-Sartan,Governor,,,"Fourth Sartan governor (1640–1651)."
Rodrigo Cifuentes,Colonial-Sartan,Governor,,,"Fifth Sartan governor (1651–1663)."
Mateo Salazar,Colonial-Sartan,Governor,,,"Sixth Sartan governor (1663–1674)."
Felipe Ortega,Colonial-Sartan,Governor,,,"Seventh Sartan governor (1674–1691). Longest-serving. Overthrown and killed by peasant mob in Waribá (1691)."
Waraku,Colonial-Sartan,Peasant ruler,,,"Peasant ruler (""Turning Moon""). Seized power in Waribá during 1691 interregnum. Guaji name (warí+waku)."
Captain Andrés Caldera,Colonial-Sartan,Administrator,,,"Sartan ship captain. Temporary administrator (1692–1705). Installed by Breisland-Mercia alliance."
Tomás Herrera,Colonial-Sartan,Governor,,,"Civilian governor (1710–1723). Appointed after military rule under Caldera."
Don Vicente de la Vega,Republic,Cónsul,,,"First Cónsul (1723–1727). Former Sartan nobleman. Republican leader. Convinced Sarta to cede colony."
Alonso Vega,Republic,Cónsul,,,"Cónsul (1727–1731)."
Rodrigo Mendoza,Republic,Cónsul,,,"Cónsul (1731–1735)."
Diego Soto,Republic,Cónsul,,,"Cónsul (1735–1739)."
Hernán Cifuentes,Republic,Cónsul,,,"Cónsul (1739–1743). Cifuentes family."
Javier Alvarado,Republic,Cónsul,,,"Cónsul (1743–1747)."
Tomás Delgado,Republic,Cónsul,,,"Cónsul (1747–1751)."
Sebastián Rivera,Republic,Cónsul,,,"Cónsul (1751–1755)."
Nicolás Herrera,Republic,Cónsul,,,"Cónsul (1755–1759)."
Joaquín Delgado,Republic,Cónsul,,,"Cónsul (1759–1763). Seized Astillero Real (1761)."
Nicolás Vega,Republic,Cónsul,,,"Cónsul (1763–1767). Formed Capuyaquiran and Abyalan League."
Diego Alvarado,Republic,Cónsul,,,"Cónsul (1767–1771). Signed 1768 constitutional reform."
Antonio Vega,Republic,Cónsul,,,"Cónsul (1771–1775)."
Pedro Mendoza,Republic,Cónsul,,,"Cónsul (1775–1779)."
Lucas Cifuentes,Republic,Cónsul,,,"Cónsul (1779–1783). Cifuentes family."
Carlos Mendoza,Republic,Cónsul,,,"Cónsul (1783–1787). Church-limiting amendment (1784)."
Eduardo Rivera,Republic,Cónsul,,,"Cónsul (1787–1791)."
Javier Delgado,Republic,Cónsul,,,"Cónsul (1791–1795)."
Sebastián Vega,Republic,Cónsul,,,"Cónsul (1795–1799)."
Felipe Rivera,Republic,Cónsul,,,"Last Cónsul (1799–1801). Partial term."
Esteban Makurí,Republic,PD Founder,,,"PD founder (late 1760s). Guaji native parish school-educated. Surname from makú + -rí."
Mateo Kurí,Republic,President,,,"President (1804–1812). PD. First Guaji head of state. Exiled to Sarta 1813. Surname: kuri (stone) + -rí."
Ramón Cifuentes,Republic,NR Exile Leader,,,"NR exile leader. Former NR senator/landowner. Orchestrated 1812 coup with NC/Bayara. Cifuentes family. Installed as PUG civilian head. Fled during Virtuous Revolution."
Vittorio Calvi,NC Occupation,NC Governor,,,"Bayaran naval officer. NC military governor (1812–1820). Implemented race codes oversaw early Bloody Decade."
Marco Vendrell,NC Occupation,NC Governor,,,"Cerdanyan military officer. NC military governor (1820–1824). Oversaw late Bloody Decade and troop withdrawal."
Tomás Yukurí,NC Occupation,Guarda Military Commander,,,"Guaji former army officer. Guarda Revolutionary military commander. Highland terrain expert. Surname: yuku (mountain) + -rí."
Diego Nasarí,NC Occupation,Guarda Political Commander,,,"Bayani PD underground organiser. Guarda Revolutionary political commander. Surname from Arabic nasr (victory) + -í."
Javier Barirí,Reconstruction,President (1st),,Aug 1 1837,"RG leader (1824–1828). First president of Second Republic (1829–1837). Served 2 terms. Retired July 1 1837. Died Aug 1 1837. Surname: bari (storm) + -rí = person of the storm."
Sebastián Biku,Reconstruction,Painter,c. 1808,1862,"Proto-Symbolist painter. Central figure of movement. Early realist works documenting Bloody Decade then incorporated Bikumaku glyphs and three powers into canvases (late 1830s). Travelled to Sarta 1845 — bridge to Illpynia. Surname: bikú (carved year-mark) plain root."
Ana Flores,Reconstruction,Painter,c. 1815,1890,"Proto-Symbolist painter. Sartan surname urban-born mixed heritage. Earth-toned palettes landscapes as witness. More abstract than Biku. Stayed in Guajicutea deepened visual vocabulary."
