rank,change,team,points,confederation
1,—,Asikyira,1842,Abyala
2,—,Balisca,1798,Abyala
3,—,Volisania,1756,Mesogean
4,—,Sanrobonia,1721,Abyala
5,▲ 1,Orma,1695,Mesogean
6,▼ 1,Jarin,1688,Mesogean
7,—,Varkana,1654,Mesogean
8,—,Okaiken,1632,East Fosia
9,▲ 2,Burawa,1601,North and Central Kaftia
10,▼ 1,Balboa,1587,Abyala
11,▼ 1,Aetolia,1573,Mesogean
12,—,Ayorin,1549,North and Central Kaftia
13,—,United Midlands,1521,Lurandia
14,—,Mercia,1498,Central Fosia and Southern Illypnia
15,▲ 1,Louyang,1476,Lurandia
16,▼ 1,Sarta,1462,Central Fosia and Southern Illypnia
17,—,Zong,1445,East Fosia
18,▲ 2,Pangkajene,1418,North Fosia and Kendryian
19,—,Galwa,1401,Mesogean
20,▲ 3,Daras,1387,Central Fosia and Southern Illypnia
21,▲ 1,Nusaraya,1267,North Fosia and Kendryian
22,▲ 1,Jacan,1200,Mesogean
23,▲ 1,Sinchew,1193,Lurandia
24,▲ 1,Breisland,1154,Central Fosia and Southern Illypnia
25,▲ 1,Yanbaru,1100,East Fosia
26,▲ 1,Potocsí,1043,Abyala
27,-,Louyan,1040,East Fosia
28,-,Kaneda,1038,Lurandia
29,-,Nakamizu,1028,East Fosia
30,-,Dagit,1015,North Fosia and Kendryian
31,-,Sanyan,985,Kaftia
32,-,Tamazgha,983,Kaftia
33,-,Kalisongo,915,Kaftia
