team,country,players,notes
Dakare,Dakare,Cabdi Xirsi Rooble;Markos Salib;Roob-geedi Dhul-jeed;Waaq-rooble Qorax-dhawe;Paulos Masiih;Dhuxul Xasan;Luqas Injiil;Antoni Cabdalle;Cir-badh Dayax-jiid;Markus Krastos;Sebas Cilmi;Mique Xasan;Yohanna Batsilika;Shiire Xaashi;Xacmu Xirsi;Gabrie Xasan;Cumar Cabdille;Dhul-jeed Roob-geedi;Dhaxol Shiire;Cabdalle Xaaji;Xiddig Xasan;Petros Ilyas;Vicens Xirsi;Waaq-dhug Qorax-joog;Joxan Shire,2022 current squad
Sarafone,Sarafone,Dominiq Cilmi;Kadar Xasan;Roob-dhage Dhul-jeed;Waaq-ade Cir-badh;Qaasim Dhaxol;Yaxye Cumar;Paulos Masiih;Andria Xaashi;Dhuxul Xasan;Luqas Salib;Antoni Cabdalle;Francesc Xirsi;Markus Krastos;Sebas Cilmi;Mique Xasan;Stefa Dhuxul;Shiire Xaashi;Dayax-jiid Qorax-dhawe;Xaaji Cabdalle;Gabrie Xasan;Cumar Cabdille;Yohanna Batsilika;Dhaxol Shiire;Xiddig Xasan;Waaq-yeelo Roob-geedi,2022 current squad
Tapuya,Tapuya,Marc Rovira;Nil Boix;Ferran Pujol;Jordi Cendra;Oriol Masdéu;Adrià Salvat;Pau Sagnier;Biel Borràs;Jan Martí;Guillem Roca;Tomàs Soler;Arnau Estanyol;Miquel Mora;Roger Riera;Xavi Ferrer;Pol Vidal;Sergi Llorens;Àlex Boix;Arnau Vidal;Joan Miró;Oriol Pons;Pau Borrell;Marc Ferrandis;Biel Cendra;Nil Marín,2022 current squad
Shansi,Shansi,Tsang Chun-yiu;Chow Ho-yeung;Lam Tik-chun;Leung Ka-chun;Wong Wai-keung;Cheung Ka-lok;Chan Chun-hei;Lee Tsz-yin;Ng Ka-chun;Cheng Ho-fung;Chow Wai-hin;Lam Chun-yiu;Tsang Ka-hei;Chan Ho-yin;Cheung Tsz-kin;Wong Chun-kit;Leung Ho-yeung;Ng Tsz-hin;Cheung Ho-fung;Lee Ka-wai;Chan Chun-yin;Wong Tsz-lok;Lam Ho-yeung;Cheng Ka-hei;Chow Chun-hei,2022 current squad
Skade,Skade,Erik Johansen;Thomas Nilsen;Anders Haugen;Magnus Solberg;Bjørn Larsen;Ole Kristiansen;Svein Hovland;Henrik Dahl;Kristian Fosse;Lars Eriksen;Petter Strand;Jonas Nygaard;Martin Holm;Stian Røed;Eirik Bakke;Vegard Moen;Tore Hansen;Ørjan Lillebæk;Svein Hovland;Andreas Myklebust;Jørgen Solli;Emil Tveit;Mats Rønning;Håvard Berge;Simen Kvistad,2022 current squad
Kwangju,Kwangju,Kim Min-jae;Lee Seung-hyun;Cho Tae-hee;Park Jung-min;Jung Tae-woo;Yoon Sang-ho;Choi Dong-hyun;Kang Ji-won;Han Seo-jun;Lim Kyu-jin;Seo Jung-hoon;Ha Sung-min;Song Hyun-woo;Lee Jae-hyuk;Kwon Si-yoon;Baek Ji-hoon;Shin Woo-jin;Nam Tae-joon;Choi Sung-hwan;Kim Do-yeon;Park Soo-min;Jung Hyun-woo;Yoon Tae-woo;Lee Chan-hee;Cho Ji-hoon,2022 current squad
Balisca,Balisca,Marc Soler i Vidal;Iker Goikoetxea;Koa Kamana;Aitor Etxebarria;Babatunde Soler;Carles Rovira i Bosch;Eneko Agirre Zabala;Hassan ibn Rashid;Lin Zhiyuan;Antón Otegi Aranburu;Nil Ferrer Domènech;Amadou Diallo;Youssef al-Bashir;Mateo Diallo;Chen Wei-long;Pau Domènech i Ferrer;Oluwaseun Adebayo;Raj Kwaray;João Pedro da Costa;Sebastián Herrera García;Tariq al-Mansouri;Kalinga Magsaysay;Tāne Mahelona;Kenji Nakamura;Kwame Asante,2026 current squad
Volisania,Volisania,Arnau Solé;Biel Marín;Pau Cendra;Jordi Masdéu;Nil Ferrer;Marc Salvat;Pau Roca;Miquel Sagnier;Oriol Borràs;Jan Vidal;Llorenç Pujol;Bernat Soler;Ferran Vidal;Pau Llorens;Arnau Bellmunt;Roger Martí;Joan Estanyol;Guillem Mora;Tomàs Riera;Marc Vidals;Adrià Serra;Xavi Boix;Àlex Pons;Pol Miró;Sergi Borrell;Oriol Ferrandis,2026 current squad
Balboa,Balboa,Xavi Bonet;Kwame Lòrda;Rafa Torralba;Djanol Brifà;Sèrgi Campdepadròs;Mamadou Fofana;Jordi Rovira;Junyi Diafara;Wei Orpella;Pape Kandé;Oscar Mifà;Makèna Diouf;Kèsim Vidal;Adama Touré;Nèstir Cavall Jr.;Yassine Brifà;Hao Xifra;Fatoumata Diallo;Lin Sanclimenti;Yuto Mifà;Janluca Bicari;Moussa Kéba;Kenji Mifà;Lluís Campdepadròs;Chen Fofana;Liang Cavall,2026 current squad
Burawa,Burawa,Petre Xirsi;Qaasim Dhaxol;Yaxye Cumar;Xirsi Shire;Andria Xaashi;Dhuxul Xasan;Luqas Xaaji;Antoni Cabdalle;Francesc Xirsi;Markus Dhane;Sebas Cilmi;Mique Xasan;Stefa Dhuxul;Shiire Xaashi;Xacmu Xirsi;Gabrie Xasan;Cumar Cabdille;Qaali Cabdille;Dhaxol Shiire;Xiddig Xasan;Rafa Dhane;Vicens Xirsi;Toma Dhane;Joxan Shire;Dominiq Cilmi;Kadar Xasan,2026 current squad
Varkana,Varkana,Hugo Loria;Luka Paliashvili;Gigo Bugadze;Berita Parjiani;Danieli Vardi;Vakhtang Dogonadze;Ilia Vekua;Hector Balanchivadze;Revaz Rapava;Ari Maisuradze;Andria Kereselidze;Henrikh Dvali;Badri Basilaia;Ari Vinikis;Revaz Ninidze;Andria Rachvelishvili;Giorgi Zakariadze;Xherdan Chiaureli;Damian Ananidze;Ari Kenia;Elia Arsenidze;Otar Danelia;Marios Arnautovich,2026 current squad
Okaiken,Okaiken,Kenzo Sato;Nobu Matsui;Koshiro Abe;Daiki Enomoto;Genki Muro;Takeru Iwano;Kazuki Ota;Hiroki Arima;Takumi Ueda;Shinji Goya;Jumbo Ota;Issei Kawada;Ryotaro Shima;Toshio Kaneko;Keisuke Honda;Ryuichi Koga;Yuki Kagawa;Sota Hino;Makoto Ito;Eiji Miyamoto;Tadaoki Kawabe;Jiro Tanaka;Shohei Saito,2026 current squad
Jarin,Jarin,Petros Shimora;Yohannes Morentu;Gabriel Tokar;Mikael Nakfa;Lukas Kettai;Tesfaye Elagaz;Amanuel Apollonia;Dawit Olbia;Kidus Agig;Fikru Halfele;Henok Barenki;Mesfin Asarka;Yosef Dalwan;Henok Sinkat;Dawit Bishimala;Tewelde Gebeit;Getachew Attawak;Samuel Balhal;Desta Halaib;Solomon Ercabat;Yonatan Tokar;Abreham Nakfa;Natan Shimora;Mulugeta Morentu;Tesfaye Elagaz;Yohannes Kettai,2026 current squad
Asikyira,Asikyira,Amadou Baal;Boubacar Sarr;Idrissa Koné;Ousmane Gueye;Kofi Mensah;Salif Diarra;Mamadou Diallo;Moussa Traoré;Ibrahima Cissé;Pape Ndiaye;Seydou Barry;Bamba Cissé;Aminata Ndiaye;Cheikh Fall;Issa Camara;Balla Jallow;Lamine Sow;Fatou Touré;Khadim Ndao;Abdoulaye Sow;Oumar Ba;Salif Gassama;Saloum Kane;Pape Niasse;Amara Ba;Mariama Cissé,2026 current squad
United Midlands,United Midlands,Oliver Hartley;Samuel Wren;Ethan Mercer;Thomas Vale;Callum Ashby;Daniel Rowe;Henry Bell;Lewis Hargreaves;Adrian Lowe;Marcus Pritchard;Jordan Sloane;James Hart;Elliot Mercer;Ryan Fletcher;Oliver Hartley;Philip Mercer;Aaron Bell;Michael Rowland;Victor Lane;Daniel Brooks;Callum Price;Noah Bennett;Adam Reed;Tom Ellery;Ryan Carter;Jack Foster,2026 current squad
Daras,Daras,Chen Zihang;Wang Yuchen;Li Haoran;Zhang Mingxuan;Liu Zhenyu;Zhou Jianwei;Xu Haotian;Sun Minghao;Guo Yifan;He Junbo;Peng Zhihao;Zhang Weishi;Lin Haoyang;Qian Yiming;Chen Zekai;Hu Junyao;Jiang Weilin;Wang Ruihan;Luo Zhenyu;Liang Rui;Zhao Wenhao;Ma Zixuan;Tang Yuchen;Jin Zhiming;Shen Kaixi;Fang Haoran,2026 current squad
